[2026-03-26T08:03:00.662Z] GET http://localhost:8080/ → 200 (18ms, 2535B)
[2026-03-26T08:03:00.686Z] GET http://localhost:8080/src/styles.css → 200 (5ms, 2547B)
[2026-03-26T08:03:00.687Z] GET http://localhost:8080/src/utils/calculator.js → 200 (5ms, 4760B)
[2026-03-26T08:03:00.687Z] GET http://localhost:8080/src/components/app.js → 200 (5ms, 2043B)
[2026-03-26T08:03:38.962Z] GET http://localhost:8080/ → 200 (4ms, 2535B)
[2026-03-26T08:03:38.968Z] GET http://localhost:8080/src/styles.css → 304 (4ms, ?B)
[2026-03-26T08:03:38.969Z] GET http://localhost:8080/src/utils/calculator.js → 304 (3ms, ?B)
[2026-03-26T08:03:38.969Z] GET http://localhost:8080/src/components/app.js → 304 (4ms, ?B)
[2026-03-26T08:04:05.306Z] GET http://localhost:8080/ → 200 (2ms, 2535B)
[2026-03-26T08:04:05.311Z] GET http://localhost:8080/src/styles.css → 304 (3ms, ?B)
[2026-03-26T08:04:05.311Z] GET http://localhost:8080/src/utils/calculator.js → 304 (2ms, ?B)
[2026-03-26T08:04:05.311Z] GET http://localhost:8080/src/components/app.js → 304 (3ms, ?B)
[2026-03-26T08:04:19.376Z] GET http://localhost:8080/ → 200 (3ms, 2535B)
[2026-03-26T08:04:19.382Z] GET http://localhost:8080/src/styles.css → 200 (?ms, 2547B)
[2026-03-26T08:04:19.383Z] GET http://localhost:8080/src/utils/calculator.js → 200 (?ms, 4760B)
[2026-03-26T08:04:19.383Z] GET http://localhost:8080/src/components/app.js → 200 (?ms, 2043B)
[2026-03-26T08:04:28.714Z] GET http://localhost:8080/ → 200 (2ms, 2535B)
[2026-03-26T08:04:28.719Z] GET http://localhost:8080/src/styles.css → 200 (?ms, 2547B)
[2026-03-26T08:04:28.720Z] GET http://localhost:8080/src/utils/calculator.js → 304 (4ms, ?B)
[2026-03-26T08:04:28.720Z] GET http://localhost:8080/src/components/app.js → 304 (4ms, ?B)
[2026-03-26T08:04:38.957Z] GET http://localhost:8080/ → 200 (4ms, 2535B)
[2026-03-26T08:04:38.964Z] GET http://localhost:8080/src/styles.css → 304 (1ms, ?B)
[2026-03-26T08:04:38.964Z] GET http://localhost:8080/src/utils/calculator.js → 200 (?ms, 4760B)
[2026-03-26T08:04:38.964Z] GET http://localhost:8080/src/components/app.js → 200 (?ms, 2043B)
[2026-03-26T08:04:48.372Z] GET http://localhost:8080/ → 200 (2ms, 2535B)
[2026-03-26T08:04:48.377Z] GET http://localhost:8080/src/styles.css → 200 (?ms, 2547B)
[2026-03-26T08:04:48.378Z] GET http://localhost:8080/src/utils/calculator.js → 200 (?ms, 4760B)
[2026-03-26T08:04:48.378Z] GET http://localhost:8080/src/components/app.js → 200 (?ms, 2043B)
[2026-03-26T08:06:08.068Z] GET http://localhost:8080/ → 200 (3ms, 2535B)
[2026-03-26T08:06:08.073Z] GET http://localhost:8080/src/styles.css → 304 (2ms, ?B)
[2026-03-26T08:06:08.073Z] GET http://localhost:8080/src/utils/calculator.js → 304 (2ms, ?B)
[2026-03-26T08:06:08.073Z] GET http://localhost:8080/src/components/app.js → 304 (3ms, ?B)
[2026-03-26T08:06:22.321Z] GET http://localhost:8080/ → 200 (7ms, 2535B)
[2026-03-26T08:06:22.331Z] GET http://localhost:8080/src/styles.css → 200 (?ms, 2547B)
[2026-03-26T08:06:22.331Z] GET http://localhost:8080/src/utils/calculator.js → 200 (1ms, 4760B)
[2026-03-26T08:06:22.332Z] GET http://localhost:8080/src/components/app.js → 200 (?ms, 2043B)
[2026-03-26T08:06:54.945Z] GET http://localhost:8080/ → 200 (3ms, 2535B)
[2026-03-26T08:06:54.950Z] GET http://localhost:8080/src/styles.css → 304 (5ms, ?B)
[2026-03-26T08:06:54.950Z] GET http://localhost:8080/src/utils/calculator.js → 304 (2ms, ?B)
[2026-03-26T08:06:54.950Z] GET http://localhost:8080/src/components/app.js → 304 (2ms, ?B)
[2026-03-26T08:07:05.798Z] GET http://localhost:8080/ → 200 (4ms, 2535B)
[2026-03-26T08:07:05.804Z] GET http://localhost:8080/src/styles.css → 200 (1ms, 2547B)
[2026-03-26T08:07:05.805Z] GET http://localhost:8080/src/utils/calculator.js → 200 (?ms, 4760B)
[2026-03-26T08:07:05.805Z] GET http://localhost:8080/src/components/app.js → 200 (?ms, 2043B)
[2026-03-26T08:07:16.586Z] GET http://localhost:8080/ → 200 (2ms, 2535B)
[2026-03-26T08:07:16.591Z] GET http://localhost:8080/src/styles.css → 200 (?ms, 2547B)
[2026-03-26T08:07:16.591Z] GET http://localhost:8080/src/utils/calculator.js → 200 (?ms, 4760B)
[2026-03-26T08:07:16.592Z] GET http://localhost:8080/src/components/app.js → 200 (?ms, 2043B)
[2026-03-26T08:07:28.062Z] GET http://localhost:8080/ → 200 (2ms, 2535B)
[2026-03-26T08:07:28.066Z] GET http://localhost:8080/src/styles.css → 200 (?ms, 2547B)
[2026-03-26T08:07:28.067Z] GET http://localhost:8080/src/utils/calculator.js → 200 (?ms, 4760B)
